"Date","Year","Number","Effort","Course","Ship.lat","Ship.lon","Angle","Dist.nm","Sight.lat","Sight.lon"
"Nov 23",2008,268,"on",2,31.266,-114.401333333333,323,1.81,31.2907110866694,-114.421581452227
"Nov 23",2008,272,"on",184,31.3668333333333,-114.4985,311,1,31.3550482203136,-114.484699444079
"Nov 23",2008,273,"on",181,31.3586666666667,-114.498666666667,21,2.54,31.31941588349,-114.517230012514
"Nov 23",2008,274,"on",181,31.3541666666667,-114.498666666667,14,2.23,31.3182664234563,-114.509926783961
"Nov 23",2008,280,"off",181,31.3458333333333,-114.498833333333,300,2.23,31.3266910848825,-114.461538287983
"Nov 23",2008,285,"off",178,31.3128333333333,-114.4985,34,1.99,31.2847064048108,-114.519066004676
"Nov 23",2008,278,"on",178,31.3008333333333,-114.498,4,1.33,31.2786801700011,-114.498905170097
"Nov 23",2008,279,"on",178,31.2973333333333,-114.498166666667,2,1.14,31.2783333333333,-114.498166666667
"Nov 23",2008,281,"on",155,31.2921666666667,-114.498166666667,1,0.9,31.278463484802,-114.491028047644
"Nov 23",2008,282,"on",155,31.288,-114.498166666667,344,2.54,31.2560506277706,-114.465678001421
"Nov 23",2008,283,"on",155,31.2841666666667,-114.498166666667,51,0.9,31.2706847559722,-114.5058598672
"Nov 23",2008,284,"on",155,31.2826666666667,-114.498166666667,337,0.35,31.2787634047962,-114.493094409329
"Nov 23",2008,286,"on",155,31.2736666666667,-114.498166666667,2,1.66,31.2481993657211,-114.485522063038
"Nov 23",2008,287,"on",155,31.2641666666667,-114.498333333333,332,0.68,31.2573460964043,-114.48774521649
"Nov 23",2008,288,"on",155,31.2623333333333,-114.498333333333,3,0.46,31.2552249237817,-114.494973755664
"Nov 23",2008,290,"on",358,31.277,-114.550666666667,85,1.59,31.2802295376002,-114.519890511554
"Nov 23",2008,297,"on",175,31.0548333333333,-114.575833333333,51,1.66,31.0356144517506,-114.599060040833
"Nov 25",2008,304,"on",178,31.0811666666667,-114.6505,15,0.21,31.0777563714399,-114.651419274395
"Nov 25",2008,307,"on",178,31.0778333333333,-114.650333333333,312,0.81,31.0691557006026,-114.638259712402
"Nov 25",2008,308,"on",178,31.0715,-114.650166666667,337,0.68,31.0612285117469,-114.644575280006
"Nov 25",2008,309,"on",178,31.0628333333333,-114.649833333333,320,0.9,31.0516861609512,-114.638117526531
"Nov 25",2008,310,"on",178,31.0596666666667,-114.649666666667,68,1.53,31.0492948822682,-114.676857935737
